     Eje X     Eje Y     Eje Z
  1.103063  1.285012 -1.066941
  1.162063  0.003012 -0.811941
  1.225062 -0.130988 -0.742941
  1.241063 -0.166988 -0.644941
  1.202062 -0.214988 -0.625941
  1.062063 -0.110988 -0.714941
  1.057063  0.025012 -0.860941
  1.185063  0.059012 -0.948941
  0.944062  0.976012 -0.938941
  0.911062  1.260012 -0.448941
  0.995062  1.423012 -0.815941
  1.146062  1.493012 -0.733941
  1.308063  1.705012 -0.666941
  1.622062  1.763012 -0.998941
  1.701062  1.647012 -0.786941
  1.390062  1.122012 -0.363941
  1.336063  1.155012 -0.319941
  1.218063  1.053012 -0.482941
  1.312063  0.781012 -0.460941
  1.204062  0.760012 -0.389941
  1.034063  0.508012 -0.732941
  1.168062  0.200012 -0.490941
  1.025062  1.151012 -0.295941
  1.161062  1.309012 -0.863941
  1.332062  1.406012 -1.012941
  1.334062  1.709012 -0.636941
  1.353063  1.746012 -0.928941
  1.393062  1.788012 -1.036941
  1.330063  1.771012 -0.581941
  1.277063  0.797012 -0.711941
  1.309062  0.691012 -0.610941
  1.193063  0.679012 -0.535941
  1.137063  0.696012 -0.725941
  1.191062  0.502012 -0.885941
  1.043062  0.292012 -0.701941
  0.866063 -0.133988 -0.928941
  1.462062  0.860012 -0.840941
  1.584062  0.842012 -0.608941
  1.467062  0.908012 -0.575941
  1.418062  0.692012 -0.481941
  1.250062  0.594012 -0.511941
  0.983063  0.485012 -0.720941
  0.890063  0.026012 -0.716941
  1.189062  1.208012 -0.685941
  1.308063  1.130012 -0.952941
  1.331063  1.224012 -1.077941
  1.282063  1.213012 -1.009941
  1.440063  1.038012 -1.040941
  1.512063  1.203012 -1.211941
  1.816062  1.156012 -1.001941
 -0.289937 -0.556988 -0.716941
 -0.441938 -0.482988 -0.755941
 -0.360938 -0.319988 -0.792941
 -0.145938 -0.174988 -0.728941
 -0.181938  0.147012 -0.893941
  0.271062  0.256012 -0.742941
 -2.008938  1.228012 -0.583941
 -1.438938  1.425012 -0.990941
 -1.341938  1.616012 -0.422941
 -1.336938  1.983012 -0.284941
 -1.139938 -1.957988 -0.884941
 -1.249938 -1.854988 -0.530941
 -1.410938 -1.699988 -0.788941
  0.015062  1.281012 -1.220941
  0.008062  1.538012 -0.432941
  0.000063  1.869012 -0.762941
  0.180063  2.006012 -1.093941
  0.216063  2.002012 -0.978941
  0.443063  1.987012 -1.125941
  0.821063  1.714012 -1.263941
  0.761063  1.117012 -0.769941
  0.773063  1.126012 -1.049941
  0.762062  1.166012 -0.979941
  0.712062  1.200012 -0.908941
  0.860062  1.016012 -1.243941
  0.951063  0.955012 -0.840941
  0.911062  0.930012 -0.629941
 -1.609938  1.488012 -0.939941
 -1.748937  1.494012 -0.976941
 -1.954937  1.576012 -0.798941
  2.016062  1.435012 -0.753941
  1.956063  1.467012 -1.067941
  1.926062  1.297012 -0.835941
  1.831063  1.192012 -0.804941
  0.745062  0.240012 -0.827941
  1.198063  0.962012 -0.607941
  1.950063  1.245012 -1.275941
 -1.788937  1.274012 -0.788941
 -1.899938  1.613012 -0.411941
 -1.217937  1.537012 -0.782941
 -1.036937  1.642012 -0.329941
 -1.663937 -1.987988 -0.473941
 -1.346938 -1.760988 -0.671941
 -1.021937 -1.845988 -1.056941
 -0.951937 -1.733988 -0.822941
 -0.771937 -1.861988 -0.782941
 -0.645938  1.785012 -0.869941
 -0.872938  1.527012 -0.298941
  0.884063 -1.685988 -0.389941
  0.951063 -1.661988 -1.338941
  0.950063 -1.784988 -0.972941
  0.885063 -1.943988 -1.084941
  1.023062  1.858012 -1.075941
  0.954063  1.513012 -0.783941
  0.840062  1.251012 -0.963941
  1.642063  1.174012 -0.936941
  1.880062  1.356012 -0.857941
 -1.963938  1.358012 -1.061941
 -1.782938  1.328012 -1.092941
 -1.551937  1.155012 -1.084941
 -1.564937  0.924012 -0.983941
 -1.709937  0.740012 -0.672941
